Airport,Airline,Age,Gender,Nationality,TripPurpose,TripDuration,FlyingCompanion,ProvinceResidence,GroupTravel,NoTripsLastYear,Destination,DepartureTime,SeatClass,Airfare,NoTransport,ModeTransport,AccessCost,AccessTime,Occupation,Income
ICN,Foreign,>50,1,1,Business,5,1,8,2,2,1,3,1,53,1,6,8400,180,2,NA
ICN,Korean,<=50,1,1,Leisure,365,2,8,1,0,2,3,1,48,1,9,8400,180,2,NA
ICN,Foreign,<=50,2,1,Leisure,4,2,8,1,0,3,3,3,40,1,5,2700,40,9,NA
ICN,Korean,<=50,2,1,Leisure,6,2,8,2,0,3,3,1,40,3,5,8400,180,2,4
ICN,Korean,<=50,1,4,Business,99,0,8,2,1,3,4,1,65,2,1,8400,180,12,NA
ICN,Korean,<=50,2,5,Leisure,5,8,8,2,5,4,3,1,14,1,5,8400,120,3,2
ICN,Foreign,<=50,1,5,Leisure,10,1,8,2,2,4,2,2,50,1,8,8400,180,1,6
ICN,Korean,>50,2,1,Business,3,0,8,2,4,2,3,1,50,1,2,8400,180,9,7
ICN,Korean,>50,2,3,Leisure,8,2,8,2,1,2,2,2,260,2,1,8400,180,12,4
ICN,Korean,<=50,2,1,Business,10,0,8,2,3,1,3,1,45,1,2,14000,35,8,6
ICN,Foreign,<=50,2,1,Leisure,7,2,8,2,7,1,3,2,50,1,5,8400,180,2,3
ICN,Foreign,<=50,2,1,Leisure,15,1,8,2,3,3,2,1,50,2,2,8000,30,12,NA
GMP,Foreign,<=50,1,2,Business,50,2,1,2,2,1,3,3,67,2,5,1650,40,1,1
GMP,Foreign,>50,1,1,Business,3,0,1,2,5,1,3,1,50,1,1,7463,60,1,5
GMP,Foreign,>50,1,1,Leisure,9,1,1,2,1,2,3,1,20,1,5,4000,60,10,3
GMP,Foreign,>50,2,1,Leisure,9,1,1,2,2,2,3,1,20,1,5,4000,60,9,3
GMP,Korean,<=50,1,1,Leisure,365,4,1,2,2,2,3,1,36,1,1,4922,40,8,7
GMP,Korean,>50,1,5,Business,3,4,1,2,4,2,2,1,35,1,2,15000,60,1,3
GMP,Korean,<=50,2,1,Leisure,3,1,1,2,4,2,2,1,50,1,1,4922,40,2,4
